Wall time,Step,Value
1732886872.6978738,1,1.3637107610702515
1732886872.7020588,2,0.34766876697540283
1732886872.702143,3,0.17292070388793945
1732886872.7021947,4,0.11688411235809326
1732886872.702232,5,0.08633895963430405
1732886872.7022734,6,0.0658353641629219
1732886872.7023175,7,0.0519232414662838
1732886872.7023602,8,0.040676094591617584
1732886872.7026153,9,0.032015006989240646
1732886872.7032573,10,0.02544657327234745
1732886872.7033088,11,0.020045148208737373
1732886872.7033334,12,0.015686923637986183
1732886872.703358,13,0.012692111544311047
1732886872.7034168,14,0.01003315020352602
1732886872.703437,15,0.008081485517323017
1732886872.7035732,16,0.0067513976246118546
1732886872.7037256,17,0.005486214999109507
1732886872.7038608,18,0.0045871492475271225
1732886872.7039979,19,0.003856273600831628
1732886872.7041073,20,0.003228517947718501
1732886872.7042444,21,0.002793791936710477
1732886872.7043648,22,0.0024078646674752235
1732886872.704468,23,0.002116154180839658
1732886872.7046118,24,0.0018554282141849399
1732886872.7047088,25,0.0016304802848026156
1732886872.7048142,26,0.0014483468839898705
1732886872.704915,27,0.0012532048858702183
1732886872.7050078,28,0.0011206665076315403
1732886872.7051098,29,0.0009914074325934052
1732886872.7052045,30,0.000868074654135853
1732886872.7053025,31,0.000760178838390857
1732886872.7053993,32,0.0006850847858004272
1732886872.705495,33,0.0006171322311274707
1732886872.70562,34,0.0005419164663180709
1732886872.7057257,35,0.0004890091367997229
1732886872.7058265,36,0.0004322024469729513
1732886872.7059333,37,0.00038483881508000195
1732886872.7060616,38,0.0003387893957551569
1732886872.7062101,39,0.0003065386554226279
1732886872.7063556,40,0.0002727799292188138
1732886872.7064962,41,0.0002477635280229151
1732886872.7066503,42,0.0002173219108954072
1732886872.706775,43,0.00019861840701196343
1732886872.7069292,44,0.00017829683201853186
1732886872.707077,45,0.00016124396643135697
1732886872.7072248,46,0.00014515221118927002
1732886872.7073748,47,0.00013071921421214938
1732886872.7075412,48,0.0001166287183878012
1732886872.7076895,49,0.00010625899449223652
1732886872.7078476,50,9.409503400092945e-05
1732886872.7080274,51,8.625679038232192e-05
1732886872.7081728,52,7.665013981750235e-05
1732886872.7083406,53,6.936132558621466e-05
1732886872.7085328,54,6.276142812566832e-05
1732886872.7086878,55,5.525836968445219e-05
1732886872.70884,56,4.9862941523315385e-05
1732886872.709016,57,4.488208287511952e-05
1732886872.7092223,58,4.003798312623985e-05
1732886872.7094681,59,3.713148180395365e-05
1732886872.7096682,60,3.35340118908789e-05
1732886872.709856,61,2.935987140517682e-05
1732886872.7101142,62,2.6339554096921347e-05
1732886872.710424,63,2.4197566744987853e-05
1732886872.710654,64,2.2226822693482973e-05
1732886872.710867,65,2.0540754121611826e-05
1732886872.7110631,66,1.8133790945285e-05
1732886872.711269,67,1.6246211089310236e-05
1732886872.7114687,68,1.5071286725287791e-05
1732886872.7116518,69,1.3519602362066507e-05
1732886872.7118149,70,1.2397939826769289e-05
1732886872.7119992,71,1.154928031610325e-05
1732886872.712185,72,9.936800779541954e-06
1732886872.712379,73,8.974549018603284e-06
1732886872.7125587,74,8.713813258509617e-06
1732886872.7127454,75,7.608698069816455e-06
1732886872.7129252,76,7.016344625299098e-06
1732886872.7131095,77,6.211820164025994e-06
1732886872.7132943,78,0.00014806717808824033
1732886872.7134645,79,2.6270980015397072e-05
1732886872.7136142,80,0.00011780807835748419
1732886872.713779,81,0.00010942519293166697
1732886872.7139275,82,8.035750943236053e-05
1732886872.714172,83,1.2349886674201116e-05
1732886872.714388,84,1.0791176464408636e-05
1732886872.7145698,85,9.33284536586143e-06
1732886872.714758,86,8.863090442901012e-06
1732886872.7149422,87,7.824865861039143e-06
1732886872.7151191,88,7.574641131213866e-06
1732886872.7152793,89,6.788744940422475e-06
1732886872.7154322,90,6.309076979960082e-06
1732886872.7156234,91,5.9174512898607645e-06
1732886872.7158065,92,5.4969609664112795e-06
1732886872.715978,93,5.077579317003256e-06
1732886872.716183,94,4.790359525941312e-06
1732886872.7164178,95,4.495364009926561e-06
1732886872.7166994,96,4.247454853611998e-06
1732886872.7169728,97,4.039588475279743e-06
1732886872.7172115,98,3.55384690919891e-06
1732886872.717388,99,3.5585883324529277e-06
1732886872.7175515,100,3.143932872262667e-06
