Wall time,Step,Value
1732817285.142122,1,1.6178398132324219
1732817285.143928,2,0.6920545697212219
1732817285.1439633,3,0.3598965108394623
1732817285.1439862,4,0.22869999706745148
1732817285.1440077,5,0.1671922653913498
1732817285.1440394,6,0.13387352228164673
1732817285.1440642,7,0.11285549402236938
1732817285.1443832,8,0.09803066402673721
1732817285.1444566,9,0.08615279197692871
1732817285.1444814,10,0.07764223963022232
1732817285.1445029,11,0.07027731835842133
1732817285.144535,12,0.06411255151033401
1732817285.145183,13,0.05946236848831177
1732817285.145271,14,0.0550239272415638
1732817285.145298,15,0.0503242202103138
1732817285.1453488,16,0.0476013720035553
1732817285.1456895,17,0.04402865469455719
1732817285.1466649,18,0.04105055332183838
1732817285.1468453,19,0.038852039724588394
1732817285.1468766,20,0.036237675696611404
1732817285.1469018,21,0.03442445397377014
1732817285.1469266,22,0.03269622102379799
1732817285.146951,23,0.030822044238448143
1732817285.1469753,24,0.02935197204351425
1732817285.146999,25,0.02804327942430973
1732817285.1470535,26,0.026729539036750793
1732817285.1474273,27,0.025396501645445824
1732817285.147636,28,0.024270372465252876
1732817285.147667,29,0.02341935969889164
1732817285.147693,30,0.022075943648815155
1732817285.1479466,31,0.02131839282810688
1732817285.1480656,32,0.020312225446105003
1732817285.1482062,33,0.019726602360606194
1732817285.1483586,34,0.018714414909482002
1732817285.1485035,35,0.01787818968296051
1732817285.1486492,36,0.017487304285168648
1732817285.1487973,37,0.016623733565211296
1732817285.148941,38,0.01613697223365307
1732817285.1490881,39,0.015464375726878643
1732817285.1492345,40,0.014963574707508087
1732817285.1493778,41,0.014376101084053516
1732817285.1495261,42,0.013914416544139385
1732817285.1496754,43,0.013286708854138851
1732817285.149823,44,0.013112003915011883
1732817285.1499703,45,0.012515142560005188
1732817285.1501255,46,0.012267518788576126
1732817285.1502666,47,0.011747688055038452
1732817285.1504097,48,0.011641689576208591
1732817285.1505694,49,0.011117644608020782
1732817285.1507003,50,0.010883464477956295
1732817285.1508462,51,0.010472373105585575
1732817285.1509845,52,0.010016143321990967
1732817285.1511304,53,0.009913268499076366
1732817285.1512895,54,0.009599771350622177
1732817285.151448,55,0.009298195131123066
1732817285.1516051,56,0.008897745981812477
1732817285.151783,57,0.008819718845188618
1732817285.151821,58,0.00885514821857214
1732817285.1519086,59,0.00828054454177618
1732817285.1520019,60,0.00806703045964241
1732817285.1520894,61,0.007878102362155914
1732817285.1521857,62,0.007781077176332474
1732817285.1522734,63,0.007576761767268181
1732817285.152355,64,0.007304104510694742
1732817285.1524386,65,0.007118161767721176
1732817285.152529,66,0.007010543253272772
1732817285.1526442,67,0.006893180310726166
1732817285.152726,68,0.006807377096265554
1732817285.1528125,69,0.006586195435374975
1732817285.152846,70,0.006411753129214048
1732817285.152938,71,0.0062430365942418575
1732817285.153023,72,0.00617929408326745
1732817285.1531065,73,0.00595871964469552
1732817285.1532042,74,0.005873399320989847
1732817285.1532967,75,0.005732275545597076
1732817285.1533947,76,0.0057146004401147366
1732817285.153485,77,0.005459678824990988
1732817285.153582,78,0.0054010008461773396
1732817285.1536741,79,0.0053106509149074554
1732817285.153771,80,0.0052453759126365185
1732817285.1538608,81,0.005121780093759298
1732817285.1539474,82,0.005151113960891962
1732817285.1540372,83,0.004920672159641981
1732817285.15413,84,0.004919891711324453
1732817285.1542578,85,0.004677074961364269
1732817285.1542952,86,0.0046388679184019566
1732817285.1543853,87,0.004571284633129835
1732817285.1544783,88,0.0046159434132277966
1732817285.1545627,89,0.004519951529800892
1732817285.1546485,90,0.004456422757357359
1732817285.1547737,91,0.004325072281062603
1732817285.1548533,92,0.004263250157237053
1732817285.1549375,93,0.0043050372041761875
1732817285.1550217,94,0.0040545533411204815
1732817285.1550553,95,0.004022299777716398
1732817285.1551528,96,0.004017234314233065
1732817285.155257,97,0.0039611454121768475
1732817285.155345,98,0.003801156999543309
1732817285.1554441,99,0.003830069676041603
1732817285.1555378,100,0.0037782888393849134
